model,c,fold,train_start,train_end,validation_start,validation_end,train_down,train_neutral,train_up,validation_down,validation_neutral,validation_up,n,accuracy,balanced_accuracy,macro_f1,log_loss,macro_ovr_auc
market_plus_tfidf,1.0,3,2025-10-02,2026-01-08,2026-01-09,2026-02-03,13,42,13,3,12,2,17,0.5294117647058824,0.25,0.23076923076923075,1.1913260128036125,0.05396825396825397
market_plus_tfidf,10.0,3,2025-10-02,2026-01-08,2026-01-09,2026-02-03,13,42,13,3,12,2,17,0.47058823529411764,0.2222222222222222,0.21333333333333335,1.297975596918094,0.15317460317460316
class_prior,,4,2025-10-02,2026-02-03,2026-02-04,2026-02-27,16,54,15,4,11,2,17,0.6470588235294118,0.3333333333333333,0.2619047619047619,0.8905759739391068,0.5
market_only,0.01,4,2025-10-02,2026-02-03,2026-02-04,2026-02-27,16,54,15,4,11,2,17,0.11764705882352941,0.11363636363636365,0.09206349206349207,1.136391511367581,0.3797202797202797
market_only,0.1,4,2025-10-02,2026-02-03,2026-02-04,2026-02-27,16,54,15,4,11,2,17,0.17647058823529413,0.196969696969697,0.1365079365079365,1.2321721856663856,0.404001554001554
market_only,1.0,4,2025-10-02,2026-02-03,2026-02-04,2026-02-27,16,54,15,4,11,2,17,0.17647058823529413,0.196969696969697,0.1365079365079365,1.2798515673507846,0.43803418803418803
market_only,10.0,4,2025-10-02,2026-02-03,2026-02-04,2026-02-27,16,54,15,4,11,2,17,0.17647058823529413,0.196969696969697,0.1365079365079365,1.2868946596463036,0.4552059052059052
tfidf_only,0.01,4,2025-10-02,2026-02-03,2026-02-04,2026-02-27,16,54,15,4,11,2,17,0.4117647058823529,0.37121212121212127,0.33868092691622104,1.0979401020560566,0.4918026418026418
tfidf_only,0.1,4,2025-10-02,2026-02-03,2026-02-04,2026-02-27,16,54,15,4,11,2,17,0.4117647058823529,0.37121212121212127,0.33868092691622104,1.0919562510676746,0.4968531468531469
tfidf_only,1.0,4,2025-10-02,2026-02-03,2026-02-04,2026-02-27,16,54,15,4,11,2,17,0.4117647058823529,0.3181818181818182,0.3087719298245614,1.0518503548721423,0.4793317793317793
tfidf_only,10.0,4,2025-10-02,2026-02-03,2026-02-04,2026-02-27,16,54,15,4,11,2,17,0.5882352941176471,0.35606060606060613,0.3333333333333333,1.0139495626720627,0.4601010101010101
market_plus_tfidf,0.01,4,2025-10-02,2026-02-03,2026-02-04,2026-02-27,16,54,15,4,11,2,17,0.11764705882352941,0.11363636363636365,0.09206349206349207,1.1355780074767263,0.3686091686091686
market_plus_tfidf,0.1,4,2025-10-02,2026-02-03,2026-02-04,2026-02-27,16,54,15,4,11,2,17,0.17647058823529413,0.196969696969697,0.1365079365079365,1.2228742757163875,0.40905205905205905
market_plus_tfidf,1.0,4,2025-10-02,2026-02-03,2026-02-04,2026-02-27,16,54,15,4,11,2,17,0.23529411764705882,0.28030303030303033,0.18095238095238098,1.213869922497204,0.4003108003108003
market_plus_tfidf,10.0,4,2025-10-02,2026-02-03,2026-02-04,2026-02-27,16,54,15,4,11,2,17,0.4117647058823529,0.26515151515151514,0.2510822510822511,1.186604979413356,0.41278166278166273
