term,type,up_support_days,down_support_days,total_support_days,up_total_days,down_total_days,up_prevalence_pct,down_prevalence_pct,up_minus_down_pp
amazon has,phrase,6,0,6,51,41,11.764705882352942,0.0,11.76470588235294
and bullish,phrase,6,0,6,51,41,11.764705882352942,0.0,11.76470588235294
and hbm,phrase,6,0,6,51,41,11.764705882352942,0.0,11.76470588235294
announcement of,phrase,6,0,6,51,41,11.764705882352942,0.0,11.76470588235294
companies will,phrase,6,0,6,51,41,11.764705882352942,0.0,11.76470588235294
continuing to,phrase,6,0,6,51,41,11.764705882352942,0.0,11.76470588235294
deal in,phrase,6,0,6,51,41,11.764705882352942,0.0,11.76470588235294
essentially,word,6,0,6,51,41,11.764705882352942,0.0,11.76470588235294
fold,word,6,0,6,51,41,11.764705882352942,0.0,11.76470588235294
from bitcoin,phrase,6,0,6,51,41,11.764705882352942,0.0,11.76470588235294
join the,phrase,6,0,6,51,41,11.764705882352942,0.0,11.76470588235294
million at,phrase,6,0,6,51,41,11.764705882352942,0.0,11.76470588235294
not get,phrase,6,0,6,51,41,11.764705882352942,0.0,11.76470588235294
of intel,phrase,6,0,6,51,41,11.764705882352942,0.0,11.76470588235294
platforms nasdaq,phrase,6,0,6,51,41,11.764705882352942,0.0,11.76470588235294
read here,phrase,6,0,6,51,41,11.764705882352942,0.0,11.76470588235294
site,word,6,0,6,51,41,11.764705882352942,0.0,11.76470588235294
sold nvidia,phrase,6,0,6,51,41,11.764705882352942,0.0,11.76470588235294
the total,phrase,6,0,6,51,41,11.764705882352942,0.0,11.76470588235294
threaten,word,6,0,6,51,41,11.764705882352942,0.0,11.76470588235294
two weeks,phrase,6,0,6,51,41,11.764705882352942,0.0,11.76470588235294
gpus,word,42,29,71,51,41,82.3529411764706,70.73170731707317,11.621233859397417
upside,word,37,25,62,51,41,72.54901960784314,60.97560975609756,11.573409851745575
the past,phrase,32,21,53,51,41,62.745098039215684,51.21951219512195,11.525585844093733
world,word,32,21,53,51,41,62.745098039215684,51.21951219512195,11.525585844093733
designed,word,27,17,44,51,41,52.94117647058823,41.46341463414634,11.477761836441896
arm,word,22,13,35,51,41,43.13725490196079,31.70731707317073,11.429937828790054
bets,word,22,13,35,51,41,43.13725490196079,31.70731707317073,11.429937828790054
dollars,word,22,13,35,51,41,43.13725490196079,31.70731707317073,11.429937828790054
the world,phrase,22,13,35,51,41,43.13725490196079,31.70731707317073,11.429937828790054
accelerator,word,17,9,26,51,41,33.333333333333336,21.951219512195124,11.38211382113821
agreement with,phrase,17,9,26,51,41,33.333333333333336,21.951219512195124,11.38211382113821
huang said,phrase,17,9,26,51,41,33.333333333333336,21.951219512195124,11.38211382113821
sale,word,17,9,26,51,41,33.333333333333336,21.951219512195124,11.38211382113821
ai accelerator,phrase,12,5,17,51,41,23.529411764705884,12.195121951219512,11.33428981348637
be worth,phrase,12,5,17,51,41,23.529411764705884,12.195121951219512,11.33428981348637
cheap,word,12,5,17,51,41,23.529411764705884,12.195121951219512,11.33428981348637
cutting edge,phrase,12,5,17,51,41,23.529411764705884,12.195121951219512,11.33428981348637
drug,word,12,5,17,51,41,23.529411764705884,12.195121951219512,11.33428981348637
jensen huang's,phrase,12,5,17,51,41,23.529411764705884,12.195121951219512,11.33428981348637
strategic partnership,phrase,12,5,17,51,41,23.529411764705884,12.195121951219512,11.33428981348637
tight,word,12,5,17,51,41,23.529411764705884,12.195121951219512,11.33428981348637
across its,phrase,7,1,8,51,41,13.72549019607843,2.4390243902439024,11.286465805834531
after ai,phrase,7,1,8,51,41,13.72549019607843,2.4390243902439024,11.286465805834531
alliances,word,7,1,8,51,41,13.72549019607843,2.4390243902439024,11.286465805834531
are falling,phrase,7,1,8,51,41,13.72549019607843,2.4390243902439024,11.286465805834531
bad news,phrase,7,1,8,51,41,13.72549019607843,2.4390243902439024,11.286465805834531
breakthrough,word,7,1,8,51,41,13.72549019607843,2.4390243902439024,11.286465805834531
fab,word,7,1,8,51,41,13.72549019607843,2.4390243902439024,11.286465805834531
google nvidia,phrase,7,1,8,51,41,13.72549019607843,2.4390243902439024,11.286465805834531
group of,phrase,7,1,8,51,41,13.72549019607843,2.4390243902439024,11.286465805834531
has taken,phrase,7,1,8,51,41,13.72549019607843,2.4390243902439024,11.286465805834531
joint,word,7,1,8,51,41,13.72549019607843,2.4390243902439024,11.286465805834531
missed nvidia,phrase,7,1,8,51,41,13.72549019607843,2.4390243902439024,11.286465805834531
nvidia expands,phrase,7,1,8,51,41,13.72549019607843,2.4390243902439024,11.286465805834531
on top,phrase,7,1,8,51,41,13.72549019607843,2.4390243902439024,11.286465805834531
parent alphabet,phrase,7,1,8,51,41,13.72549019607843,2.4390243902439024,11.286465805834531
rides on,phrase,7,1,8,51,41,13.72549019607843,2.4390243902439024,11.286465805834531
stakes in,phrase,7,1,8,51,41,13.72549019607843,2.4390243902439024,11.286465805834531
suite,word,7,1,8,51,41,13.72549019607843,2.4390243902439024,11.286465805834531
technology company,phrase,7,1,8,51,41,13.72549019607843,2.4390243902439024,11.286465805834531
technology nasdaq,phrase,7,1,8,51,41,13.72549019607843,2.4390243902439024,11.286465805834531
the hottest,phrase,7,1,8,51,41,13.72549019607843,2.4390243902439024,11.286465805834531
thursday as,phrase,7,1,8,51,41,13.72549019607843,2.4390243902439024,11.286465805834531
data centers,phrase,43,30,73,51,41,84.31372549019608,73.17073170731707,11.142993782879007
as nvidia,phrase,38,26,64,51,41,74.50980392156863,63.41463414634146,11.095169775227165
ai workloads,phrase,23,14,37,51,41,45.09803921568628,34.146341463414636,10.951697752271638
nvidia chips,phrase,23,14,37,51,41,45.09803921568628,34.146341463414636,10.951697752271638
after nvidia,phrase,18,10,28,51,41,35.294117647058826,24.390243902439025,10.903873744619801
parent,word,18,10,28,51,41,35.294117647058826,24.390243902439025,10.903873744619801
street's,word,18,10,28,51,41,35.294117647058826,24.390243902439025,10.903873744619801
to use,phrase,18,10,28,51,41,35.294117647058826,24.390243902439025,10.903873744619801
wall street's,phrase,18,10,28,51,41,35.294117647058826,24.390243902439025,10.903873744619801
ai inference,phrase,13,6,19,51,41,25.49019607843137,14.634146341463415,10.856049736967957
behind the,phrase,13,6,19,51,41,25.49019607843137,14.634146341463415,10.856049736967957
nvidia blackwell,phrase,13,6,19,51,41,25.49019607843137,14.634146341463415,10.856049736967957
shared,word,13,6,19,51,41,25.49019607843137,14.634146341463415,10.856049736967957
talk,word,13,6,19,51,41,25.49019607843137,14.634146341463415,10.856049736967957
with meta,phrase,13,6,19,51,41,25.49019607843137,14.634146341463415,10.856049736967957
alone,word,8,2,10,51,41,15.686274509803921,4.878048780487805,10.808225729316117
amazon nasdaq,phrase,8,2,10,51,41,15.686274509803921,4.878048780487805,10.808225729316117
are today's,phrase,8,2,10,51,41,15.686274509803921,4.878048780487805,10.808225729316117
blackwell gpus,phrase,8,2,10,51,41,15.686274509803921,4.878048780487805,10.808225729316117
enabled,word,8,2,10,51,41,15.686274509803921,4.878048780487805,10.808225729316117
entering,word,8,2,10,51,41,15.686274509803921,4.878048780487805,10.808225729316117
google parent,phrase,8,2,10,51,41,15.686274509803921,4.878048780487805,10.808225729316117
huang is,phrase,8,2,10,51,41,15.686274509803921,4.878048780487805,10.808225729316117
jinping,word,8,2,10,51,41,15.686274509803921,4.878048780487805,10.808225729316117
keep up,phrase,8,2,10,51,41,15.686274509803921,4.878048780487805,10.808225729316117
modest,word,8,2,10,51,41,15.686274509803921,4.878048780487805,10.808225729316117
reliance on,phrase,8,2,10,51,41,15.686274509803921,4.878048780487805,10.808225729316117
santa,word,8,2,10,51,41,15.686274509803921,4.878048780487805,10.808225729316117
size,word,8,2,10,51,41,15.686274509803921,4.878048780487805,10.808225729316117
supply constraints,phrase,8,2,10,51,41,15.686274509803921,4.878048780487805,10.808225729316117
today's movers,phrase,8,2,10,51,41,15.686274509803921,4.878048780487805,10.808225729316117
xi,word,8,2,10,51,41,15.686274509803921,4.878048780487805,10.808225729316117
xi jinping,phrase,8,2,10,51,41,15.686274509803921,4.878048780487805,10.808225729316117
share,word,44,31,75,51,41,86.27450980392157,75.60975609756098,10.664753706360596
ai data,phrase,39,27,66,51,41,76.47058823529412,65.85365853658537,10.616929698708743
rally,word,39,27,66,51,41,76.47058823529412,65.85365853658537,10.616929698708743
stocks are,phrase,29,19,48,51,41,56.86274509803921,46.34146341463415,10.521281683405064
why nvidia,phrase,29,19,48,51,41,56.86274509803921,46.34146341463415,10.521281683405064
near,word,24,15,39,51,41,47.05882352941177,36.58536585365854,10.473457675753227
added,word,19,11,30,51,41,37.254901960784316,26.829268292682926,10.425633668101387
applications,word,19,11,30,51,41,37.254901960784316,26.829268292682926,10.425633668101387
control,word,19,11,30,51,41,37.254901960784316,26.829268292682926,10.425633668101387
stack,word,19,11,30,51,41,37.254901960784316,26.829268292682926,10.425633668101387
tools,word,19,11,30,51,41,37.254901960784316,26.829268292682926,10.425633668101387
worries,word,19,11,30,51,41,37.254901960784316,26.829268292682926,10.425633668101387
as demand,phrase,14,7,21,51,41,27.45098039215686,17.073170731707318,10.377809660449547
breakout,word,14,7,21,51,41,27.45098039215686,17.073170731707318,10.377809660449547
chips are,phrase,14,7,21,51,41,27.45098039215686,17.073170731707318,10.377809660449547
discover why,phrase,14,7,21,51,41,27.45098039215686,17.073170731707318,10.377809660449547
gigawatt,word,14,7,21,51,41,27.45098039215686,17.073170731707318,10.377809660449547
goldman,word,14,7,21,51,41,27.45098039215686,17.073170731707318,10.377809660449547
goldman sachs,phrase,14,7,21,51,41,27.45098039215686,17.073170731707318,10.377809660449547
hbm4,word,14,7,21,51,41,27.45098039215686,17.073170731707318,10.377809660449547
sachs,word,14,7,21,51,41,27.45098039215686,17.073170731707318,10.377809660449547
ai expansion,phrase,9,3,12,51,41,17.647058823529413,7.317073170731708,10.329985652797706
and networking,phrase,9,3,12,51,41,17.647058823529413,7.317073170731708,10.329985652797706
bets on,phrase,9,3,12,51,41,17.647058823529413,7.317073170731708,10.329985652797706
capacity for,phrase,9,3,12,51,41,17.647058823529413,7.317073170731708,10.329985652797706
custom chip,phrase,9,3,12,51,41,17.647058823529413,7.317073170731708,10.329985652797706
microsoft nasdaq,phrase,9,3,12,51,41,17.647058823529413,7.317073170731708,10.329985652797706
nvidia google,phrase,9,3,12,51,41,17.647058823529413,7.317073170731708,10.329985652797706
of stocks,phrase,9,3,12,51,41,17.647058823529413,7.317073170731708,10.329985652797706
overblown,word,9,3,12,51,41,17.647058823529413,7.317073170731708,10.329985652797706
pop,word,9,3,12,51,41,17.647058823529413,7.317073170731708,10.329985652797706
talked,word,9,3,12,51,41,17.647058823529413,7.317073170731708,10.329985652797706
talking,word,9,3,12,51,41,17.647058823529413,7.317073170731708,10.329985652797706
the financial,phrase,9,3,12,51,41,17.647058823529413,7.317073170731708,10.329985652797706
to record,phrase,9,3,12,51,41,17.647058823529413,7.317073170731708,10.329985652797706
trading higher,phrase,9,3,12,51,41,17.647058823529413,7.317073170731708,10.329985652797706
